Date,Code,O,H,L,C,UL,LL,Vo,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo
2024-01-05,87250,5629.0,5728.0,5629.0,5700.0,0,0,1506100.0,8576536800.0,1.0,1876.3,1909.3,1876.3,1900.0,4518300.0
2024-01-09,87250,5731.0,5781.0,5699.0,5699.0,0,0,1423400.0,8144979700.0,1.0,1910.3,1927.0,1899.7,1899.7,4270200.0
2024-01-10,87250,5699.0,5728.0,5642.0,5681.0,0,0,1530900.0,8714488900.0,1.0,1899.7,1909.3,1880.7,1893.7,4592700.0
2024-01-11,87250,5733.0,5836.0,5730.0,5803.0,0,0,1864400.0,10803104800.0,1.0,1911.0,1945.3,1910.0,1934.3,5593200.0
2024-01-12,87250,5808.0,5808.0,5727.0,5744.0,0,0,1723800.0,9931178400.0,1.0,1936.0,1936.0,1909.0,1914.7,5171400.0
2024-01-15,87250,5752.0,5908.0,5752.0,5900.0,0,0,1221600.0,7149383700.0,1.0,1917.3,1969.3,1917.3,1966.7,3664800.0
2024-01-16,87250,5892.0,5902.0,5846.0,5855.0,0,0,1214000.0,7127679400.0,1.0,1964.0,1967.3,1948.7,1951.7,3642000.0
2024-01-17,87250,5889.0,6108.0,5877.0,5954.0,0,0,1781000.0,10686356000.0,1.0,1963.0,2036.0,1959.0,1984.7,5343000.0
2024-01-18,87250,5957.0,5977.0,5850.0,5852.0,0,0,1372000.0,8074549900.0,1.0,1985.7,1992.3,1950.0,1950.7,4116000.0
2024-01-19,87250,5929.0,5952.0,5852.0,5867.0,0,0,1308700.0,7695521900.0,1.0,1976.3,1984.0,1950.7,1955.7,3926100.0
2024-01-22,87250,5951.0,6044.0,5940.0,6030.0,0,0,1357400.0,8144690000.0,1.0,1983.7,2014.7,1980.0,2010.0,4072200.0
2024-01-23,87250,6055.0,6070.0,5982.0,6031.0,0,0,1450300.0,8755241000.0,1.0,2018.3,2023.3,1994.0,2010.3,4350900.0
2024-01-24,87250,6008.0,6046.0,5986.0,6030.0,0,0,1159500.0,6977279100.0,1.0,2002.7,2015.3,1995.3,2010.0,3478500.0
2024-01-25,87250,6067.0,6084.0,6006.0,6025.0,0,0,1467800.0,8862382900.0,1.0,2022.3,2028.0,2002.0,2008.3,4403400.0
2024-01-26,87250,6022.0,6041.0,5944.0,5953.0,0,0,1317500.0,7888475100.0,1.0,2007.3,2013.7,1981.3,1984.3,3952500.0
2024-01-29,87250,6008.0,6079.0,6008.0,6050.0,0,0,1200200.0,7263661600.0,1.0,2002.7,2026.3,2002.7,2016.7,3600600.0
2024-01-30,87250,6087.0,6145.0,6070.0,6103.0,0,0,1385800.0,8467800700.0,1.0,2029.0,2048.3,2023.3,2034.3,4157400.0
2024-01-31,87250,6060.0,6148.0,6030.0,6148.0,0,0,1370300.0,8369800800.0,1.0,2020.0,2049.3,2010.0,2049.3,4110900.0
2024-02-01,87250,6100.0,6122.0,6054.0,6068.0,0,0,986900.0,5999118100.0,1.0,2033.3,2040.7,2018.0,2022.7,2960700.0
2024-02-02,87250,6050.0,6057.0,6021.0,6030.0,0,0,949200.0,5732555000.0,1.0,2016.7,2019.0,2007.0,2010.0,2847600.0
2024-02-05,87250,6079.0,6106.0,6028.0,6083.0,0,0,1059700.0,6436953100.0,1.0,2026.3,2035.3,2009.3,2027.7,3179100.0
2024-02-06,87250,6056.0,6084.0,5972.0,5980.0,0,0,1502400.0,9029465300.0,1.0,2018.7,2028.0,1990.7,1993.3,4507200.0
2024-02-07,87250,5970.0,5997.0,5941.0,5991.0,0,0,1400800.0,8367844100.0,1.0,1990.0,1999.0,1980.3,1997.0,4202400.0
2024-02-08,87250,6010.0,6089.0,5983.0,6045.0,0,0,1483100.0,8967498100.0,1.0,2003.3,2029.7,1994.3,2015.0,4449300.0
2024-02-09,87250,6026.0,6047.0,5970.0,5970.0,0,0,1136600.0,6822438100.0,1.0,2008.7,2015.7,1990.0,1990.0,3409800.0
2024-02-13,87250,6370.0,6684.0,6368.0,6616.0,0,0,4261500.0,27960127500.0,1.0,2123.3,2228.0,2122.7,2205.3,12784500.0
2024-02-14,87250,6550.0,6709.0,6507.0,6573.0,0,0,3013700.0,19912658900.0,1.0,2183.3,2236.3,2169.0,2191.0,9041100.0
2024-02-15,87250,7100.0,7490.0,6939.0,7477.0,0,0,5190900.0,38248630300.0,1.0,2366.7,2496.7,2313.0,2492.3,15572700.0
2024-02-16,87250,7600.0,7601.0,7427.0,7463.0,0,0,4614400.0,34553095000.0,1.0,2533.3,2533.7,2475.7,2487.7,13843200.0
2024-02-19,87250,7482.0,7559.0,7440.0,7558.0,0,0,2129100.0,15993078400.0,1.0,2494.0,2519.7,2480.0,2519.3,6387300.0
2024-02-20,87250,7530.0,7542.0,7291.0,7361.0,0,0,2356400.0,17448856200.0,1.0,2510.0,2514.0,2430.3,2453.7,7069200.0
2024-02-21,87250,7296.0,7333.0,7185.0,7249.0,0,0,2310000.0,16706101800.0,1.0,2432.0,2444.3,2395.0,2416.3,6930000.0
2024-02-22,87250,7290.0,7293.0,7154.0,7195.0,0,0,2222100.0,16030246000.0,1.0,2430.0,2431.0,2384.7,2398.3,6666300.0
2024-02-26,87250,7110.0,7210.0,7091.0,7170.0,0,0,3133000.0,22427627700.0,1.0,2370.0,2403.3,2363.7,2390.0,9399000.0
2024-02-27,87250,7101.0,7187.0,7074.0,7092.0,0,0,1728600.0,12295838200.0,1.0,2367.0,2395.7,2358.0,2364.0,5185800.0
2024-02-28,87250,7119.0,7304.0,7074.0,7268.0,0,0,2342800.0,16933361700.0,1.0,2373.0,2434.7,2358.0,2422.7,7028400.0
2024-02-29,87250,7355.0,7466.0,7304.0,7410.0,0,0,4698700.0,34784661000.0,1.0,2451.7,2488.7,2434.7,2470.0,14096100.0
2024-03-01,87250,7413.0,7693.0,7413.0,7507.0,0,0,5390400.0,40660253700.0,1.0,2471.0,2564.3,2471.0,2502.3,16171200.0
2024-03-04,87250,7499.0,7673.0,7471.0,7592.0,0,0,2499500.0,18985823000.0,1.0,2499.7,2557.7,2490.3,2530.7,7498500.0
2024-03-05,87250,7599.0,7635.0,7493.0,7586.0,0,0,1625700.0,12317161000.0,1.0,2533.0,2545.0,2497.7,2528.7,4877100.0
2024-03-06,87250,7548.0,7663.0,7522.0,7662.0,0,0,2035400.0,15523352500.0,1.0,2516.0,2554.3,2507.3,2554.0,6106200.0
